               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.029106,            0.009704,           0.0080885,             0.98045,             0.95518,              0.9905,             0.87022,            0.020721,           0.0039579,           0.0080696,            0.005149,            0.005149,            0.005149
                  51,             0.02971,           0.0099419,           0.0091494,             0.98328,             0.97293,             0.98908,             0.86453,            0.020906,           0.0040418,           0.0081198,             0.00505,             0.00505,             0.00505
                  52,            0.028213,           0.0095659,            0.007684,             0.96515,             0.96943,             0.98572,             0.87384,            0.020759,           0.0041699,           0.0082011,            0.004951,            0.004951,            0.004951
                  53,            0.027668,           0.0099512,            0.007931,             0.98498,             0.96333,             0.98765,             0.86244,            0.020486,            0.003894,            0.008099,            0.004852,            0.004852,            0.004852
                  54,            0.028581,           0.0095226,           0.0089039,             0.96621,             0.95736,             0.98599,             0.85404,            0.020532,           0.0038855,           0.0080612,            0.004753,            0.004753,            0.004753
                  55,            0.028785,           0.0097951,           0.0080949,             0.95816,             0.95679,             0.98354,             0.84977,            0.020455,           0.0039772,           0.0081079,            0.004654,            0.004654,            0.004654
                  56,            0.028423,           0.0094786,           0.0075584,             0.98912,             0.94932,             0.98633,             0.86498,            0.020772,           0.0038584,           0.0080267,            0.004555,            0.004555,            0.004555
                  57,            0.028346,           0.0093073,           0.0089577,             0.96657,              0.9611,             0.98739,             0.88042,            0.019572,           0.0037582,           0.0079973,            0.004456,            0.004456,            0.004456
                  58,            0.027767,           0.0099375,           0.0079278,              0.9838,              0.9608,             0.98973,             0.87903,            0.020221,           0.0039086,           0.0080268,            0.004357,            0.004357,            0.004357
                  59,            0.028472,           0.0095072,           0.0083381,             0.98874,             0.97543,             0.98934,             0.88617,            0.019961,           0.0038016,           0.0080035,            0.004258,            0.004258,            0.004258
                  60,            0.027394,           0.0095486,           0.0084926,             0.98417,             0.98968,             0.99083,             0.88836,            0.020049,           0.0037916,           0.0080137,            0.004159,            0.004159,            0.004159
                  61,            0.027257,           0.0090391,           0.0083058,             0.98744,             0.96642,             0.98891,             0.87397,            0.020184,           0.0038808,           0.0080108,             0.00406,             0.00406,             0.00406
